Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
33676010,06/24/2016 10:50:10 PM,06/25/2016 12:25:44 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11231,93 BUTLER STREET,BUTLER STREET,SMITH STREET,HOYT STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/25/2016 06:50:10 AM,The Police Department responded to the complaint and took action to fix the condition.,06/25/2016 12:25:44 AM,06 BROOKLYN,BROOKLYN,986656,188421,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68384856060671,-73.99132497812231,"(40.68384856060671, -73.99132497812231)"
33677633,06/25/2016 01:29:02 AM,06/25/2016 06:08:12 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11231,2 PLACE,2 PLACE,COURT STREET,SMITH STREET,,,BLOCKFACE,BROOKLYN,,Precinct,Closed,06/25/2016 09:29:02 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/25/2016 06:08:12 AM,06 BROOKLYN,BROOKLYN,985194,186766,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67930623849983,-73.99659656573014,"(40.67930623849983, -73.99659656573014)"
33682199,06/24/2016 09:02:00 PM,06/28/2016 09:45:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11231,,,,,BUTLER STREET,COURT STREET,INTERSECTION,BROOKLYN,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/28/2016 09:45:00 PM,06 BROOKLYN,BROOKLYN,985754,188877,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.68510037572238,-73.99457710813682,"(40.68510037572238, -73.99457710813682)"
33683843,06/24/2016 02:53:39 PM,06/24/2016 05:55:43 PM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11231,80 DWIGHT STREET,DWIGHT STREET,VERONA STREET,BUSH STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/24/2016 10:53:39 PM,The Police Department responded to the complaint and took action to fix the condition.,06/24/2016 05:55:43 PM,06 BROOKLYN,BROOKLYN,981804,185640,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.676215335436034,-74.00881823560762,"(40.676215335436034, -74.00881823560762)"
33684418,06/25/2016 10:07:00 AM,07/02/2016 01:15:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,11231,542 CLINTON STREET,CLINTON STREET,LUQUER ST,NELSON ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",07/02/2016 01:15:00 PM,06 BROOKLYN,BROOKLYN,984109,186106,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.67749473704423,-74.00050833813232,"(40.67749473704423, -74.00050833813232)"
33684541,06/25/2016 09:38:42 PM,06/25/2016 11:08:01 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11231,17 DWIGHT STREET,DWIGHT STREET,DELEVAN STREET,VERONA STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/26/2016 05:38:42 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/25/2016 11:08:01 PM,06 BROOKLYN,BROOKLYN,982458,186374,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67823015619295,-74.00646065233568,"(40.67823015619295, -74.00646065233568)"
33684562,06/25/2016 03:57:00 PM,07/02/2016 09:15:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11231,450 HENRY STREET,HENRY STREET,KANE ST,DE GRAW ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",07/02/2016 09:15:00 AM,06 BROOKLYN,BROOKLYN,984637,189150,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.685849817622355,-73.9986045992442,"(40.685849817622355, -73.9986045992442)"
33684587,06/25/2016 11:00:00 AM,07/02/2016 01:15:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11231,546 CLINTON STREET,CLINTON STREET,LUQUER ST,NELSON ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,07/02/2016 01:15:00 PM,06 BROOKLYN,BROOKLYN,984095,186070,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.67739592494404,-74.00055881059409,"(40.67739592494404, -74.00055881059409)"
33684648,06/25/2016 09:01:59 PM,06/25/2016 11:07:59 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11231,11 DWIGHT STREET,DWIGHT STREET,DELEVAN STREET,VERONA STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/26/2016 05:01:59 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/25/2016 11:07:59 PM,06 BROOKLYN,BROOKLYN,982498,186420,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67835642379345,-74.00631645330512,"(40.67835642379345, -74.00631645330512)"
33685048,06/25/2016 07:54:00 AM,07/02/2016 01:45:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Manufacturing Noise (NK1),,11231,435 HOYT STREET,HOYT STREET,4 ST,5 ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",07/02/2016 01:45:00 PM,06 BROOKLYN,BROOKLYN,985790,185844,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.67677547338243,-73.99444799800459,"(40.67677547338243, -73.99444799800459)"
33686133,06/25/2016 11:59:57 PM,06/26/2016 02:39:05 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11231,11 DWIGHT STREET,DWIGHT STREET,DELEVAN STREET,VERONA STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/26/2016 07:59:57 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/26/2016 02:39:05 AM,06 BROOKLYN,BROOKLYN,982498,186420,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67835642379345,-74.00631645330512,"(40.67835642379345, -74.00631645330512)"
33686304,06/25/2016 11:03:53 PM,06/25/2016 11:36:22 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11231,121 COLUMBIA STREET,COLUMBIA STREET,KANE STREET,IRVING STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/26/2016 07:03:53 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/25/2016 11:36:22 PM,06 BROOKLYN,BROOKLYN,983841,189770,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68755157461428,-74.00147476350007,"(40.68755157461428, -74.00147476350007)"
33686319,06/26/2016 12:52:31 AM,06/26/2016 01:01:55 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11231,90 4 PLACE,4 PLACE,CLINTON STREET,COURT STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/26/2016 08:52:31 AM,The Police Department responded to the complaint and took action to fix the condition.,06/26/2016 01:01:55 AM,06 BROOKLYN,BROOKLYN,984613,186301,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.678029961645194,-73.9986912891988,"(40.678029961645194, -73.9986912891988)"
33686977,06/25/2016 11:49:41 PM,06/26/2016 02:39:03 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11231,11 DWIGHT STREET,DWIGHT STREET,DELEVAN STREET,VERONA STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/26/2016 07:49:41 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/26/2016 02:39:03 AM,06 BROOKLYN,BROOKLYN,982498,186420,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67835642379345,-74.00631645330512,"(40.67835642379345, -74.00631645330512)"
33687024,06/26/2016 12:54:35 AM,06/26/2016 01:02:03 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11231,4 PLACE,4 PLACE,CLINTON STREET,COURT STREET,,,BLOCKFACE,BROOKLYN,,Precinct,Closed,06/26/2016 08:54:35 AM,The Police Department responded to the complaint and took action to fix the condition.,06/26/2016 01:02:03 AM,06 BROOKLYN,BROOKLYN,984510,186342,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67814250099734,-73.99906262980026,"(40.67814250099734, -73.99906262980026)"
33687244,06/25/2016 09:50:20 PM,06/25/2016 11:08:03 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11231,11 DWIGHT STREET,DWIGHT STREET,DELEVAN STREET,VERONA STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/26/2016 05:50:20 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/25/2016 11:08:03 PM,06 BROOKLYN,BROOKLYN,982498,186420,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67835642379345,-74.00631645330512,"(40.67835642379345, -74.00631645330512)"
33687317,06/26/2016 12:56:47 AM,06/26/2016 01:11:49 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11231,,,,,4 PLACE,COURT STREET,INTERSECTION,BROOKLYN,,Precinct,Closed,06/26/2016 08:56:47 AM,The Police Department responded to the complaint and took action to fix the condition.,06/26/2016 01:11:49 AM,06 BROOKLYN,BROOKLYN,984786,186241,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67786526642703,-73.99806758331361,"(40.67786526642703, -73.99806758331361)"
33687975,06/25/2016 10:28:34 PM,06/25/2016 11:16:17 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11231,15 DWIGHT STREET,DWIGHT STREET,DELEVAN STREET,VERONA STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/26/2016 06:28:34 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/25/2016 11:16:17 PM,06 BROOKLYN,BROOKLYN,982471,186389,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.678271330421836,-74.00641378772383,"(40.678271330421836, -74.00641378772383)"
33688127,06/25/2016 01:38:00 PM,07/02/2016 08:30:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11231,473 UNION STREET,UNION STREET,HOYT ST,BOND ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",07/02/2016 08:30:00 AM,06 BROOKLYN,BROOKLYN,986985,187085,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.6801814489906,-73.99013928505418,"(40.6801814489906, -73.99013928505418)"
33689037,06/25/2016 09:35:59 PM,06/25/2016 11:08:00 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11231,17 DWIGHT STREET,DWIGHT STREET,DELEVAN STREET,VERONA STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/26/2016 05:35:59 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/25/2016 11:08:00 PM,06 BROOKLYN,BROOKLYN,982458,186374,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67823015619295,-74.00646065233568,"(40.67823015619295, -74.00646065233568)"
33689100,06/25/2016 03:00:36 AM,06/25/2016 03:22:03 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11231,6 STRONG PLACE,STRONG PLACE,KANE STREET,DE GRAW STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/25/2016 11:00:36 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/25/2016 03:22:03 AM,06 BROOKLYN,BROOKLYN,984955,189223,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68605016630282,-73.99745798323337,"(40.68605016630282, -73.99745798323337)"
33689106,06/25/2016 10:38:57 PM,06/25/2016 11:16:20 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11231,11 DWIGHT STREET,DWIGHT STREET,DELEVAN STREET,VERONA STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/26/2016 06:38:57 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/25/2016 11:16:20 PM,06 BROOKLYN,BROOKLYN,982498,186420,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67835642379345,-74.00631645330512,"(40.67835642379345, -74.00631645330512)"
33689836,06/25/2016 10:53:46 PM,06/25/2016 11:16:21 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11231,DWIGHT STREET,DWIGHT STREET,DELEVAN STREET,VERONA STREET,,,BLOCKFACE,BROOKLYN,,Precinct,Closed,06/26/2016 06:53:46 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/25/2016 11:16:21 PM,06 BROOKLYN,BROOKLYN,982449,186368,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67821368572366,-74.00649309820479,"(40.67821368572366, -74.00649309820479)"
33690717,06/26/2016 12:27:39 AM,06/26/2016 01:01:46 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11231,92 4 PLACE,4 PLACE,CLINTON STREET,COURT STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/26/2016 08:27:39 AM,The Police Department responded to the complaint and took action to fix the condition.,06/26/2016 01:01:46 AM,06 BROOKLYN,BROOKLYN,984628,186296,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67801623714803,-73.99863721052051,"(40.67801623714803, -73.99863721052051)"
33690876,06/26/2016 12:17:07 AM,06/26/2016 05:49:12 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11231,105 2 PLACE,2 PLACE,COURT STREET,NYCTA SUBWAY,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/26/2016 08:17:07 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/26/2016 05:49:12 AM,06 BROOKLYN,BROOKLYN,985094,186807,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67941878430936,-73.9969570938863,"(40.67941878430936, -73.9969570938863)"
33692093,06/26/2016 10:23:53 AM,06/26/2016 11:05:43 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11231,215 UNION STREET,UNION STREET,HENRY STREET,CLINTON STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/26/2016 06:23:53 PM,The Police Department responded to the complaint and took action to fix the condition.,06/26/2016 11:05:43 AM,06 BROOKLYN,BROOKLYN,984470,188235,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.683338357285194,-73.99920677879966,"(40.683338357285194, -73.99920677879966)"
33692208,06/26/2016 09:31:24 AM,06/26/2016 10:01:57 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11231,253 VAN BRUNT STREET,VAN BRUNT STREET,VERONA STREET,VISITATION PLACE,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/26/2016 05:31:24 PM,The Police Department responded to the complaint and took action to fix the condition.,06/26/2016 10:01:57 AM,06 BROOKLYN,BROOKLYN,981506,186985,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67990696888802,-74.00989312264898,"(40.67990696888802, -74.00989312264898)"
